Classifier: Naive Bayes
Mode: Quaternário
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.756756756757

Report:
             precision    recall  f1-score   support

        pos       0.76      0.78      0.77       163
        neg       0.64      0.98      0.77       316
        neu       0.89      0.69      0.78       509
        irr       0.93      0.31      0.46        85

avg / total       0.80      0.76      0.75      1073

Confusion Matrix:
[[127  20  16   0]
 [  2 309   5   0]
 [ 25 132 350   2]
 [ 14  22  23  26]]

261 Wrong Predictions:
cenaze nedeniyle kapal y z apple http t co j l kk | Correct: irr Predicted: neu
dancing bear apple store lincoln center http t co xbmjupmq | Correct: irr Predicted: neg
iphone apple ne jp | Correct: irr Predicted: pos
sail phoenix next stop after quimera rock apple house | Correct: irr Predicted: neg
chill lol rt apple rt styl standin what is imessage | Correct: irr Predicted: neu
lennydubz you do know that apple is not the company and why u blasting me on twitter | Correct: irr Predicted: pos
y sigue sin avisarme cuando me mencionan en twitter pidounparche actualizenlaapp apple steve jobs mugrero | Correct: irr Predicted: neu
wat een belachelijke prijzen kpn prijzen iphone s duiken op http t co ep kzupb via iphoneclub kpn iphone apple | Correct: irr Predicted: neu
fullscreen berall nur der appstore hat keine option daf r warum apple | Correct: irr Predicted: neu
love how rogersbiz tell u they re not allowed to sell the s for more than apple but yet want more for the g | Correct: irr Predicted: neg
apple bees w deejay tinyt | Correct: irr Predicted: neg
complimenti sinceri ad apple per ios va benissimo su iphone e ipad | Correct: irr Predicted: neu
rt supaluga rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk | Correct: irr Predicted: neu
mooi verhaal over dropbox en hoe zij een geweldig aanbod van apple steve jobs hebben geweigerd in het verleden http t co earobine | Correct: irr Predicted: neu
imightbewrong apple inthequeencity teamapple | Correct: irr Predicted: pos
rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk | Correct: irr Predicted: neu
cc apple http t co tnodvs | Correct: irr Predicted: neu
moda modalnho apple store starring ichiro repeat pattern coffee shops moda http t co zbi rz s | Correct: irr Predicted: neg
so ya my itunes is in japanese | Correct: irr Predicted: neg
rt leahjanell this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co dp xids | Correct: irr Predicted: neg
this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co tmq jru | Correct: irr Predicted: neg
partner with apple i d pay for anibulb washingtonpost would you pay for this lightbulb http t co zgfsehao | Correct: irr Predicted: neu
chefreggie rolandsmartin apple get ready tampa bay the martin s are coming to town bring it on buccaneers | Correct: irr Predicted: neg
heidiknyc apple badog cute dinner when ur back from shanghai xx | Correct: irr Predicted: pos
apple dette blir for dumt http t co zqkmkq | Correct: irr Predicted: neu
teach different iteach therefore iam http t co yozd hcx apple teachforus teachforamerica ipad stevejobs | Correct: irr Predicted: neu
